fold,test_hs,rmse,mae,mse,r2,bias,mape
0,0.3,0.19394530366736826,0.19179209619760512,0.037614780814627685,,0.19179209619760512,63.930694061134375
1,0.5,0.06874292625377704,0.0544230192899704,0.004725589909932228,,-0.02542554438114166,10.884603640302005
2,0.7,0.0411046532018684,0.03169028282165527,0.00168959251484587,,-0.008757286071777344,4.527183272659894
3,1.0,0.05368982069839107,0.0437866085767746,0.0028825968466253825,,-0.029050773978233337,4.3786608138908525
4,1.2,0.08335267659358245,0.07034388065338135,0.006947668695314348,,0.06779639959335328,5.861989772663986
5,1.5,0.1396088317008684,0.12960314154624938,0.019490625888881397,,-0.12960314154624938,8.64020937881523
6,1.7,0.22435700258652716,0.21953871965408325,0.05033606460961096,,0.21953871965408325,12.91404189439906
7,2.0,0.2038964827690958,0.197791143655777,0.04157377568560818,,-0.197791143655777,9.889557133341064
8,2.2,0.11526893892071613,0.09414014577865601,0.013286928279907784,,0.06445157289505005,4.279097423196073
9,2.5,0.4153591060954991,0.4035008478164673,0.17252318701645208,,0.4035008478164673,16.140033848098557
10,2.7,0.24000246603384287,0.23747605323791504,0.0576011837023259,,-0.23747605323791504,8.795409191273933
11,3.0,0.4625992979508943,0.45370480298995974,0.21399811046466027,,-0.45370480298995974,15.123493382587014
